name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology,l,t,k,f,fchange,r,n,targetHerb,targetGrass,targetArrhenatherion,ffh6510,ffh6210,table30,table33,table34,nitrogenIndicator,nitrogenIndicator2,grazingIndicator,ruderalIndicator
Poa_trivialis,http://www.worldfloraonline.org/taxon/wfo-0000894135,na,Poaceae,sub-grass,NA,NA,NA,no,5400,6,NA,3,7,NA,NA,7,no,no,no,no,no,no,no,no,yes,yes,no,no
Polygala_amarella,http://www.worldfloraonline.org/taxon/wfo-0000484045,na,Polygalaceae,herb,NA,V,NA,no,NA,9,NA,4,9,NA,9,1,yes,no,no,no,no,2,no,no,no,no,no,no
Polygala_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000488110,na,Polygalaceae,herb,NA,V,NA,no,5112,7,NA,3,5,NA,3,2,yes,no,no,no,no,3,2,2,no,no,no,no
Polygonatum_multiflorum,http://www.worldfloraonline.org/taxon/wfo-0000716086,na,Asparagaceae,herb,NA,NA,NA,no,8430,2,NA,5,5,NA,6,5,no,no,no,no,no,no,no,no,no,no,no,no
Polygonum_aviculare,http://www.worldfloraonline.org/taxon/wfo-0000489656,na,Polygonaceae,herb,NA,NA,NA,no,3711,7,6,NA,4,NA,NA,6,no,no,no,no,no,no,no,no,no,no,no,yes
Potentilla_anserina,http://www.worldfloraonline.org/taxon/wfo-0001016615,na,Rosaceae,herb,NA,NA,NA,no,3811,7,6,NA,6,1,NA,7,yes,no,no,no,no,no,no,no,no,no,no,no
Potentilla_argentea,http://www.worldfloraonline.org/taxon/wfo-0001016312,na,Rosaceae,herb,NA,NA,NA,no,5200,9,6,3,2,NA,3,1,yes,no,no,no,no,no,no,no,no,no,no,no
Potentilla_grandiflora,http://www.worldfloraonline.org/taxon/wfo-0000983686,Potentilla_verna,Rosaceae,herb,NA,V,NA,no,5114,8,6,4,3,NA,7,2,yes,no,no,no,no,no,no,no,no,no,no,no
Potentilla_recta,http://www.worldfloraonline.org/taxon/wfo-0000983388,na,Rosaceae,herb,NA,NA,NA,no,5200,9,7,5,3,NA,5,2,yes,no,no,no,no,no,3,no,no,no,no,no
Potentilla_reptans,http://www.worldfloraonline.org/taxon/wfo-0001011690,na,Rosaceae,herb,NA,NA,NA,no,3811,6,6,3,6,NA,7,5,yes,no,no,no,no,no,no,no,no,no,no,no
Prunella_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000283746,na,Lamiaceae,herb,NA,NA,NA,no,5400,7,NA,3,5,NA,7,NA,yes,no,no,yes,no,no,no,no,no,no,no,no
Quercus_robur,http://www.worldfloraonline.org/taxon/wfo-0000292858,NA,Fagaceae,tree,NA,NA,NA,no,0,7,5,5,NA,no,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no
Ranunculus_acris,http://www.worldfloraonline.org/taxon/wfo-0000461396,na,Ranunculaceae,herb,NA,NA,NA,no,5400,7,NA,3,6,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no
Ranunculus_bulbosus,http://www.worldfloraonline.org/taxon/wfo-0000461562,na,Ranunculaceae,herb,NA,NA,NA,no,5322,8,6,3,3,NA,7,3,yes,no,no,no,yes,no,4,no,no,no,no,no
Ranunculus_repens,http://www.worldfloraonline.org/taxon/wfo-0000463198,na,Ranunculaceae,herb,NA,NA,NA,no,NA,6,NA,NA,7,1,NA,NA,no,no,no,no,no,no,no,no,no,no,yes,no
Ranunculus_serpens_ssp_nemorosus,http://www.worldfloraonline.org/taxon/wfo-0000462219,Ranunculus_nemorosus,Ranunculaceae,herb,NA,V,NA,no,NA,6,NA,4,5,NA,6,NA,yes,no,no,no,no,no,no,no,no,no,no,no
Ranunculus_spec,http://www.worldfloraonline.org/taxon/wfo-4000032540,NA,Ranunculaceae,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no
Reseda_lutea,http://www.worldfloraonline.org/taxon/wfo-0000462651,na,Resedaceae,herb,NA,NA,NA,no,3540,7,6,3,3,NA,8,5,yes,no,no,no,no,no,no,no,no,no,no,no
Rhinanthus_alectorolophus,http://www.worldfloraonline.org/taxon/wfo-0000463700,na,Orobanchaceae,hemiparasite,NA,NA,NA,no,NA,8,NA,2,4,NA,7,3,yes,no,no,no,no,no,4,no,no,no,no,no
Rhinanthus_glacialis,http://www.worldfloraonline.org/taxon/wfo-0001138801,na,Orobanchaceae,hemiparasite,NA,V,NA,no,5111,8,3,4,5,NA,4,2,yes,no,no,no,yes,no,no,2,no,no,no,no
Rhinanthus_minor,http://www.worldfloraonline.org/taxon/wfo-0000747233,na,Orobanchaceae,hemiparasite,NA,NA,NA,no,5400,7,5,3,NA,NA,NA,3,no,no,no,no,no,no,4,no,no,no,no,no
Rhinanthus_serotinus,http://www.worldfloraonline.org/taxon/wfo-0000464097,na,Orobanchaceae,hemiparasite,NA,3,NA,no,NA,7,5,3,6,1,7,2,yes,no,no,no,yes,no,3,no,no,no,no,no
Rosa_canina,http://www.worldfloraonline.org/taxon/wfo-0001005999,na,Rosaceae,halfshrub,NA,NA,NA,no,8440,8,5,3,4,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no
Rubus_caesius,http://www.worldfloraonline.org/taxon/wfo-0001017340,na,Rosaceae,halfshrub,NA,NA,NA,no,NA,6,5,4,NA,NA,8,7,no,no,no,no,no,no,no,no,no,yes,no,no
Rubus_fruticosus,http://www.worldfloraonline.org/taxon/wfo-0000984598,na,Rosaceae,halfshrub,NA,NA,NA,no,8000,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,yes,no,no
Rumex_acetosa,http://www.worldfloraonline.org/taxon/wfo-0000403595,na,Polygonaceae,herb,NA,NA,NA,no,5400,8,NA,NA,NA,NA,NA,6,yes,no,no,yes,no,no,no,no,no,no,no,no
Rumex_crispus,http://www.worldfloraonline.org/taxon/wfo-0000403671,na,Polygonaceae,herb,NA,NA,NA,no,3811,7,5,3,7,1,NA,5,no,no,no,no,no,no,no,no,yes,yes,no,no
Rumex_obtusifolius,http://www.worldfloraonline.org/taxon/wfo-0000403904,na,Polygonaceae,herb,NA,NA,NA,no,3811,7,5,3,6,NA,NA,9,no,no,no,no,no,no,no,no,yes,yes,no,no
Salix_cinerea,http://www.worldfloraonline.org/taxon/wfo-0000929149,NA,Salicaceae,tree,NA,NA,NA,no,0,7,NA,5,9,1,5,4,no,no,no,no,no,no,no,no,no,no,no,no
Salvia_nemorosa,http://www.worldfloraonline.org/taxon/wfo-0000301687,na,Lamiaceae,herb,NA,NA,2,no,3541,7,7,NA,4,NA,9,4,yes,no,no,no,no,no,no,no,no,no,no,no
Salvia_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000301989,na,Lamiaceae,herb,NA,V,NA,no,5300,8,6,4,3,NA,8,4,yes,no,no,no,no,no,3,no,no,no,no,no
Sanguisorba_minor,http://www.worldfloraonline.org/taxon/wfo-0001015888,na,Rosaceae,herb,NA,NA,NA,no,5300,7,6,5,3,NA,8,2,yes,no,no,no,yes,no,3,no,no,no,no,no
Sanguisorba_officinalis,http://www.worldfloraonline.org/taxon/wfo-0000983287,na,Rosaceae,herb,NA,V,NA,no,5400,7,5,7,7,NA,NA,NA,yes,no,no,no,no,4,no,no,no,no,no,no
Saponaria_officinalis,http://www.worldfloraonline.org/taxon/wfo-0000438211,na,Caryophyllaceae,herb,NA,NA,NA,no,3611,7,6,3,5,NA,7,5,yes,no,no,no,no,no,no,no,no,no,no,no
Scabiosa_columbaria,http://www.worldfloraonline.org/taxon/wfo-0000500277,na,Caprifoliaceae,herb,NA,NA,NA,no,5320,8,5,2,3,NA,8,3,yes,no,no,no,yes,no,3,3,no,no,no,no
Scrophularia_umbrosa,http://www.worldfloraonline.org/taxon/wfo-0000496178,na,Scrophulariaceae,herb,NA,NA,NA,no,3521,7,6,5,9,2,8,7,no,no,no,no,no,no,no,no,no,no,no,no
Securigera_varia,http://www.worldfloraonline.org/taxon/wfo-0000186576,Coronilla_varia,Fabaceae,legume,NA,NA,NA,no,6110,7,6,5,4,NA,9,3,yes,no,no,no,no,no,4,no,no,no,no,no
Sedum_acre,http://www.worldfloraonline.org/taxon/wfo-0000437124,na,Crassulaceae,herb,NA,NA,NA,no,5200,8,6,3,2,NA,NA,1,yes,no,no,no,no,no,no,3,no,no,no,no
Sedum_sexangulare,http://www.worldfloraonline.org/taxon/wfo-0000437960,na,Crassulaceae,herb,NA,NA,NA,no,5200,7,5,4,2,NA,6,1,yes,no,no,no,no,no,no,3,no,no,no,no
Setaria_viridis,http://www.worldfloraonline.org/taxon/wfo-0000899679,na,Poaceae,sub-grass,NA,NA,NA,no,3300,7,6,NA,4,NA,NA,7,no,no,no,no,no,no,no,no,no,no,no,yes
Silaum_silaus,http://www.worldfloraonline.org/taxon/wfo-0000434202,na,Apiaceae,herb,NA,V,NA,no,5410,7,6,5,NA,1,7,2,yes,no,no,no,no,4,no,no,no,no,no,no
Silene_dioica,http://www.worldfloraonline.org/taxon/wfo-0000440478,na,Caryophyllaceae,herb,NA,NA,NA,no,NA,NA,NA,4,6,NA,7,8,no,no,no,no,no,no,no,no,no,no,no,no
Silene_flos-cuculi,http://www.worldfloraonline.org/taxon/wfo-0000438691,Lychnis_flos-cuculi,Caryophyllaceae,herb,NA,NA,NA,no,5410,7,5,3,7,1,NA,NA,yes,no,no,no,no,4,no,no,no,no,no,no
Silene_gallica,http://www.worldfloraonline.org/taxon/wfo-0000440573,na,Caryophyllaceae,herb,NA,1,NA,no,3400,7,7,3,4,NA,7,6,no,no,no,no,no,no,no,no,no,no,no,no
Silene_latifolia_ssp_alba,http://www.worldfloraonline.org/taxon/wfo-0000440845,na,Caryophyllaceae,herb,NA,NA,NA,no,3000,8,6,NA,4,NA,NA,7,yes,no,no,no,no,no,no,no,no,no,no,no
Silene_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000440200,na,Caryophyllaceae,herb,NA,NA,NA,no,NA,8,NA,NA,4,1,7,2,yes,no,no,no,no,no,3,no,no,no,no,no
Sisymbrium_officinale,http://www.worldfloraonline.org/taxon/wfo-0000432010,na,Brassicaceae,herb,NA,NA,NA,no,3331,8,6,5,4,NA,NA,7,no,no,no,no,no,no,no,no,no,no,no,yes
Solidago_canadensis,http://www.worldfloraonline.org/taxon/wfo-0000060775,na,Asteraceae,herb,NA,NA,NA,yes,3500,8,6,5,NA,NA,NA,6,no,no,no,no,no,no,no,no,no,no,no,no
Solidago_gigantea,http://www.worldfloraonline.org/taxon/wfo-0000130517,na,Asteraceae,herb,NA,NA,NA,yes,3500,8,6,5,6,NA,NA,7,no,no,no,no,no,no,no,no,no,no,no,no
Sonchus_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000092611,na,Asteraceae,herb,NA,NA,NA,no,3310,7,5,NA,5,1,7,NA,no,no,no,no,no,no,no,no,no,no,no,yes
Sonchus_asper,http://www.worldfloraonline.org/taxon/wfo-0000031264,na,Asteraceae,herb,NA,NA,NA,no,3310,7,5,NA,6,NA,7,7,yes,no,no,no,no,no,no,no,no,no,no,no
Stachys_officinalis,http://www.worldfloraonline.org/taxon/wfo-0000314333,Betonica_officinalis,Lamiaceae,herb,NA,V,NA,no,5411,7,6,5,NA,1,NA,3,yes,no,no,no,no,3,4,no,no,no,no,no
Stachys_palustris,http://www.worldfloraonline.org/taxon/wfo-0000314357,na,Lamiaceae,herb,NA,NA,NA,no,5412,7,5,NA,7,1,7,6,yes,no,no,no,no,no,no,no,no,no,no,no
Stellaria_graminea,http://www.worldfloraonline.org/taxon/wfo-0000436380,na,Caryophyllaceae,herb,NA,NA,NA,no,NA,6,NA,NA,4,NA,4,3,yes,no,no,yes,no,no,no,no,no,no,no,no
Symphytum_officinale,http://www.worldfloraonline.org/taxon/wfo-0000432219,na,Boraginaceae,herb,NA,NA,NA,no,NA,7,6,3,8,NA,NA,8,no,no,no,no,no,no,no,no,no,yes,no,no
Tanacetum_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000114512,na,Asteraceae,herb,NA,NA,NA,no,3542,8,6,4,5,NA,8,5,yes,no,no,no,no,no,no,no,no,no,no,no
Taraxacum_campylodes,http://www.worldfloraonline.org/taxon/wfo-0000093449,Taraxacum_officinale,Asteraceae,herb,NA,NA,NA,no,NA,7,NA,5,NA,NA,NA,7,no,no,no,no,no,no,no,no,yes,yes,no,no
Thalictrum_minus,http://www.worldfloraonline.org/taxon/wfo-0000453930,na,Ranunculaceae,herb,NA,V,G,no,6112,6,NA,7,3,NA,8,3,yes,no,no,no,no,no,no,no,no,no,no,no
Thymus_pulegioides,http://www.worldfloraonline.org/taxon/wfo-0000324607,na,Lamiaceae,herb,NA,NA,NA,no,5000,8,NA,4,4,NA,NA,1,yes,no,no,no,no,no,3,no,no,no,no,no
Tragopogon_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000080363,na,Asteraceae,herb,NA,NA,NA,no,5420,7,6,3,4,NA,7,6,yes,no,yes,yes,no,no,4,no,no,no,no,no
Trifolium_arvense,http://www.worldfloraonline.org/taxon/wfo-0000212967,NA,Fabaceae,legume,NA,NA,NA,no,0,8,6,3,3,no,2,1,no,no,no,no,no,no,3,3,no,no,no,no
Trifolium_campestre,http://www.worldfloraonline.org/taxon/wfo-0000212979,na,Fabaceae,legume,NA,NA,NA,no,5200,8,6,3,4,NA,6,3,yes,no,no,yes,no,no,3,no,no,no,no,no
Trifolium_dubium,http://www.worldfloraonline.org/taxon/wfo-0000212995,na,Fabaceae,legume,NA,NA,NA,no,5421,6,6,3,5,NA,6,5,yes,no,no,yes,no,no,no,no,no,no,no,no
Trifolium_hybridum,http://www.worldfloraonline.org/taxon/wfo-0000213009,na,Fabaceae,legume,NA,NA,NA,yes,3811,7,6,5,6,NA,7,5,yes,no,no,no,no,no,no,no,no,no,no,no
Trifolium_medium,http://www.worldfloraonline.org/taxon/wfo-0000213979,na,Fabaceae,legume,NA,NA,NA,no,6111,7,6,4,4,NA,6,3,yes,no,no,no,no,no,no,no,no,no,no,no
Trifolium_montanum,http://www.worldfloraonline.org/taxon/wfo-0000213031,na,Fabaceae,legume,NA,V,NA,no,5300,8,NA,4,3,1,8,2,yes,no,no,no,yes,no,2,2,no,no,no,no
Trifolium_pratense,http://www.worldfloraonline.org/taxon/wfo-0000213053,na,Fabaceae,legume,NA,NA,NA,no,5400,7,NA,3,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no
Trifolium_repens,http://www.worldfloraonline.org/taxon/wfo-0000213062,na,Fabaceae,legume,NA,NA,NA,no,5423,8,NA,NA,5,NA,6,6,no,no,no,no,no,no,no,no,yes,yes,yes,no
Tripleurospermum_maritimum,http://www.worldfloraonline.org/taxon/wfo-0000063085,na,Asteraceae,herb,NA,NA,NA,no,2810,9,6,3,6,2,7,8,no,no,no,no,no,no,no,no,no,no,no,yes
Trisetum_flavescens,http://www.worldfloraonline.org/taxon/wfo-0000905119,na,Poaceae,top-grass,NA,NA,NA,no,5420,7,NA,5,NA,NA,NA,5,no,no,no,yes,no,no,no,no,no,no,no,no
Tussilago_farfara,http://www.worldfloraonline.org/taxon/wfo-0000117140,na,Asteraceae,herb,NA,NA,NA,no,3000,8,NA,3,6,1,8,NA,yes,no,no,no,no,no,no,no,no,no,no,no
Urtica_dioica,http://www.worldfloraonline.org/taxon/wfo-0000416616,na,Urticaceae,herb,NA,NA,NA,no,3500,NA,NA,NA,6,NA,7,8,no,no,no,no,no,no,no,no,yes,yes,no,no
Valeriana_officinalis,http://www.worldfloraonline.org/taxon/wfo-0000426953,na,Caprifoliaceae,herb,NA,NA,NA,no,5410,7,6,5,8,1,7,5,yes,no,no,no,no,4,no,no,no,no,no,no
Verbascum_blattaria,http://www.worldfloraonline.org/taxon/wfo-0000420104,na,Scrophulariaceae,herb,NA,3,3,no,3540,8,7,7,3,NA,7,6,yes,no,no,no,no,no,no,no,no,no,no,no
Verbascum_lychnitis,http://www.worldfloraonline.org/taxon/wfo-0000420406,na,Scrophulariaceae,herb,NA,NA,NA,no,6100,7,6,5,3,NA,7,3,yes,no,no,no,no,no,no,no,no,no,no,no
Verbascum_nigrum,http://www.worldfloraonline.org/taxon/wfo-0000420517,na,Scrophulariaceae,herb,NA,NA,NA,no,6212,7,5,5,5,NA,7,7,yes,no,no,no,no,no,no,no,no,no,no,no
Verbascum_thapsus,http://www.worldfloraonline.org/taxon/wfo-0000419130,na,Scrophulariaceae,herb,NA,NA,NA,no,6210,8,NA,3,4,NA,7,7,yes,no,no,no,no,no,no,no,no,no,no,no
Verbena_officinalis,http://www.worldfloraonline.org/taxon/wfo-0000332143,na,Verbenaceae,herb,NA,NA,NA,no,3300,9,6,3,5,NA,7,7,yes,no,no,no,no,no,no,no,no,no,no,no
Veronica_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000419753,na,Plantaginaceae,herb,NA,NA,NA,no,5200,7,6,3,4,NA,6,NA,yes,no,no,no,no,no,no,no,no,no,no,no
Veronica_chamaedrys,http://www.worldfloraonline.org/taxon/wfo-0000419437,na,Plantaginaceae,herb,NA,NA,NA,no,NA,6,NA,NA,5,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no
Veronica_persica,http://www.worldfloraonline.org/taxon/wfo-0000425859,na,Plantaginaceae,herb,NA,NA,NA,yes,3310,6,NA,3,5,NA,7,7,no,no,no,no,no,no,no,no,no,no,no,no
Vicia_cracca,http://www.worldfloraonline.org/taxon/wfo-0000214046,na,Fabaceae,legume,NA,NA,NA,no,5400,7,5,NA,5,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no
Vicia_villosa_ssp_varia,http://www.worldfloraonline.org/taxon/wfo-0000212809,Vicia_villosa_ssp_dasycarpa,Fabaceae,legume,NA,NA,NA,yes,0,NA,NA,NA,NA,no,NA,NA,yes,no,no,no,no,no,no,no,no,no,no,no
Vicia_villosa,http://www.worldfloraonline.org/taxon/wfo-0000212804,Vicia_glabrescens,Fabaceae,legume,NA,NA,NA,yes,3421,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,no,no,no,no,no,no
Vicia_hirsuta,http://www.worldfloraonline.org/taxon/wfo-0000212743,na,Fabaceae,legume,NA,NA,NA,no,3400,7,6,5,4,NA,NA,4,yes,no,no,no,no,no,no,no,no,no,no,no
Vicia_sativa_ssp_nigra,http://www.worldfloraonline.org/taxon/wfo-0000212782,Vicia_angustifolia,Fabaceae,legume,NA,NA,NA,no,NA,5,6,3,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no
Vicia_sepium,http://www.worldfloraonline.org/taxon/wfo-0000212792,na,Fabaceae,legume,NA,NA,NA,no,NA,NA,NA,5,5,NA,6,5,yes,no,no,no,no,no,no,no,no,no,no,no
Vicia_tetrasperma,http://www.worldfloraonline.org/taxon/wfo-0000212802,na,Fabaceae,legume,NA,NA,NA,no,3400,6,6,5,5,NA,5,5,yes,no,no,no,no,no,no,no,no,no,no,no
Viola_hirta,http://www.worldfloraonline.org/taxon/wfo-0000423911,NA,Violaceae,herb,NA,NA,NA,no,0,6,5,5,3,NA,8,2,no,no,no,no,no,no,4,no,no,no,no,no
Viola_odorata,http://www.worldfloraonline.org/taxon/wfo-0000423364,NA,Violaceae,herb,NA,NA,NA,no,0,5,6,3,5,NA,NA,8,no,no,no,no,no,no,no,no,no,no,no,no
